        Distance           1s              1s              2p              2p              2p              2p
      0.865464E-06    0.000000E+00    0.180338E-04    0.000000E+00    0.245556E-11    0.000000E+00    0.245556E-11
      0.900784E-06    0.187698E-04    0.187697E-04    0.265941E-11    0.266008E-11    0.265941E-11    0.266008E-11
      0.937546E-06    0.195358E-04    0.195357E-04    0.288090E-11    0.288163E-11    0.288090E-11    0.288163E-11
      0.975808E-06    0.203331E-04    0.203330E-04    0.312084E-11    0.312163E-11    0.312084E-11    0.312163E-11
      0.101563E-05    0.211629E-04    0.211628E-04    0.338077E-11    0.338162E-11    0.338077E-11    0.338162E-11
      0.105708E-05    0.220266E-04    0.220265E-04    0.366234E-11    0.366327E-11    0.366234E-11    0.366327E-11
      0.110022E-05    0.229255E-04    0.229254E-04    0.396737E-11    0.396837E-11    0.396737E-11    0.396837E-11
      0.114512E-05    0.238611E-04    0.238610E-04    0.429780E-11    0.429888E-11    0.429780E-11    0.429888E-11
      0.119185E-05    0.248349E-04    0.248348E-04    0.465575E-11    0.465692E-11    0.465575E-11    0.465692E-11
      0.124049E-05    0.258484E-04    0.258483E-04    0.504351E-11    0.504478E-11    0.504351E-11    0.504478E-11
      0.129112E-05    0.269033E-04    0.269032E-04    0.546357E-11    0.546495E-11    0.546357E-11    0.546495E-11
      0.134381E-05    0.280012E-04    0.280011E-04    0.591861E-11    0.592011E-11    0.591861E-11    0.592011E-11
      0.139865E-05    0.291439E-04    0.291438E-04    0.641156E-11    0.641318E-11    0.641156E-11    0.641318E-11
      0.145573E-05    0.303333E-04    0.303332E-04    0.694555E-11    0.694731E-11    0.694555E-11    0.694731E-11
      0.151514E-05    0.315712E-04    0.315711E-04    0.752403E-11    0.752593E-11    0.752403E-11    0.752593E-11
      0.157698E-05    0.328597E-04    0.328596E-04    0.815068E-11    0.815274E-11    0.815068E-11    0.815274E-11
      0.164134E-05    0.342007E-04    0.342006E-04    0.882953E-11    0.883176E-11    0.882953E-11    0.883176E-11
      0.170832E-05    0.355964E-04    0.355963E-04    0.956491E-11    0.956733E-11    0.956491E-11    0.956733E-11
      0.177804E-05    0.370492E-04    0.370490E-04    0.103615E-10    0.103642E-10    0.103615E-10    0.103642E-10
      0.185060E-05    0.385611E-04    0.385610E-04    0.112245E-10    0.112274E-10    0.112245E-10    0.112274E-10
      0.192613E-05    0.401348E-04    0.401347E-04    0.121594E-10    0.121624E-10    0.121594E-10    0.121624E-10
      0.200473E-05    0.417728E-04    0.417726E-04    0.131721E-10    0.131754E-10    0.131721E-10    0.131754E-10
      0.208655E-05    0.434775E-04    0.434773E-04    0.142692E-10    0.142728E-10    0.142692E-10    0.142728E-10
      0.217170E-05    0.452519E-04    0.452517E-04    0.154576E-10    0.154615E-10    0.154576E-10    0.154615E-10
      0.226033E-05    0.470986E-04    0.470984E-04    0.167450E-10    0.167492E-10    0.167450E-10    0.167492E-10
      0.235257E-05    0.490207E-04    0.490205E-04    0.181396E-10    0.181442E-10    0.181396E-10    0.181442E-10
      0.244858E-05    0.510213E-04    0.510210E-04    0.196504E-10    0.196554E-10    0.196504E-10    0.196554E-10
      0.254851E-05    0.531034E-04    0.531032E-04    0.212870E-10    0.212924E-10    0.212870E-10    0.212924E-10
      0.265252E-05    0.552706E-04    0.552704E-04    0.230600E-10    0.230658E-10    0.230600E-10    0.230658E-10
      0.276077E-05    0.575262E-04    0.575260E-04    0.249806E-10    0.249869E-10    0.249806E-10    0.249869E-10
      0.287344E-05    0.598739E-04    0.598736E-04    0.270611E-10    0.270680E-10    0.270611E-10    0.270680E-10
      0.299071E-05    0.623173E-04    0.623171E-04    0.293149E-10    0.293224E-10    0.293149E-10    0.293224E-10
      0.311276E-05    0.648605E-04    0.648602E-04    0.317565E-10    0.317645E-10    0.317565E-10    0.317645E-10
      0.323979E-05    0.675075E-04    0.675072E-04    0.344014E-10    0.344101E-10    0.344014E-10    0.344101E-10
      0.337201E-05    0.702625E-04    0.702622E-04    0.372666E-10    0.372760E-10    0.372666E-10    0.372760E-10
      0.350963E-05    0.731299E-04    0.731296E-04    0.403704E-10    0.403806E-10    0.403704E-10    0.403806E-10
      0.365286E-05    0.761143E-04    0.761140E-04    0.437327E-10    0.437437E-10    0.437327E-10    0.437437E-10
      0.380193E-05    0.792205E-04    0.792202E-04    0.473750E-10    0.473870E-10    0.473750E-10    0.473870E-10
      0.395709E-05    0.824535E-04    0.824532E-04    0.513207E-10    0.513337E-10    0.513207E-10    0.513337E-10
      0.411859E-05    0.858184E-04    0.858181E-04    0.555951E-10    0.556091E-10    0.555951E-10    0.556091E-10
      0.428667E-05    0.893207E-04    0.893203E-04    0.602254E-10    0.602406E-10    0.602254E-10    0.602406E-10
      0.446161E-05    0.929658E-04    0.929654E-04    0.652413E-10    0.652578E-10    0.652413E-10    0.652578E-10
      0.464369E-05    0.967598E-04    0.967593E-04    0.706751E-10    0.706929E-10    0.706751E-10    0.706929E-10
      0.483320E-05    0.100709E-03    0.100708E-03    0.765613E-10    0.765807E-10    0.765613E-10    0.765807E-10
      0.503045E-05    0.104818E-03    0.104818E-03    0.829379E-10    0.829588E-10    0.829379E-10    0.829588E-10
      0.523575E-05    0.109096E-03    0.109096E-03    0.898455E-10    0.898682E-10    0.898455E-10    0.898682E-10
      0.544942E-05    0.113548E-03    0.113548E-03    0.973284E-10    0.973530E-10    0.973284E-10    0.973530E-10
      0.567182E-05    0.118182E-03    0.118181E-03    0.105435E-09    0.105461E-09    0.105435E-09    0.105461E-09
      0.590329E-05    0.123005E-03    0.123004E-03    0.114216E-09    0.114245E-09    0.114216E-09    0.114245E-09
      0.614421E-05    0.128025E-03    0.128024E-03    0.123728E-09    0.123760E-09    0.123728E-09    0.123760E-09
      0.639496E-05    0.133249E-03    0.133249E-03    0.134033E-09    0.134067E-09    0.134033E-09    0.134067E-09
      0.665594E-05    0.138687E-03    0.138687E-03    0.145196E-09    0.145233E-09    0.145196E-09    0.145233E-09
      0.692757E-05    0.144347E-03    0.144346E-03    0.157289E-09    0.157329E-09    0.157289E-09    0.157329E-09
