        Distance           1s              1s              2s              2s
      0.865464E-06    0.000000E+00    0.486092E-05    0.000000E+00    0.753478E-06
      0.900784E-06    0.505987E-05    0.505929E-05    0.784484E-06    0.784228E-06
      0.937546E-06    0.526637E-05    0.526577E-05    0.816500E-06    0.816233E-06
      0.975808E-06    0.548129E-05    0.548067E-05    0.849822E-06    0.849544E-06
      0.101563E-05    0.570499E-05    0.570434E-05    0.884504E-06    0.884215E-06
      0.105708E-05    0.593781E-05    0.593713E-05    0.920601E-06    0.920300E-06
      0.110022E-05    0.618014E-05    0.617943E-05    0.958172E-06    0.957858E-06
      0.114512E-05    0.643236E-05    0.643162E-05    0.997276E-06    0.996949E-06
      0.119185E-05    0.669487E-05    0.669410E-05    0.103798E-05    0.103764E-05
      0.124049E-05    0.696809E-05    0.696729E-05    0.108034E-05    0.107998E-05
      0.129112E-05    0.725247E-05    0.725163E-05    0.112443E-05    0.112406E-05
      0.134381E-05    0.754845E-05    0.754757E-05    0.117031E-05    0.116993E-05
      0.139865E-05    0.785650E-05    0.785560E-05    0.121808E-05    0.121768E-05
      0.145573E-05    0.817713E-05    0.817619E-05    0.126779E-05    0.126737E-05
      0.151514E-05    0.851085E-05    0.850986E-05    0.131953E-05    0.131909E-05
      0.157698E-05    0.885818E-05    0.885716E-05    0.137338E-05    0.137293E-05
      0.164134E-05    0.921969E-05    0.921862E-05    0.142943E-05    0.142896E-05
      0.170832E-05    0.959596E-05    0.959484E-05    0.148776E-05    0.148727E-05
      0.177804E-05    0.998758E-05    0.998641E-05    0.154848E-05    0.154797E-05
      0.185060E-05    0.103952E-04    0.103940E-04    0.161167E-05    0.161114E-05
      0.192613E-05    0.108194E-04    0.108182E-04    0.167745E-05    0.167689E-05
      0.200473E-05    0.112610E-04    0.112596E-04    0.174590E-05    0.174533E-05
      0.208655E-05    0.117205E-04    0.117192E-04    0.181716E-05    0.181656E-05
      0.217170E-05    0.121989E-04    0.121974E-04    0.189132E-05    0.189069E-05
      0.226033E-05    0.126967E-04    0.126952E-04    0.196850E-05    0.196785E-05
      0.235257E-05    0.132149E-04    0.132133E-04    0.204884E-05    0.204816E-05
