        Distance           1s              1s              2p              2p              2p              2p
      0.865464E-06    0.000000E+00    0.193525E-04    0.000000E+00    0.854710E-11    0.000000E+00    0.854710E-11
      0.900784E-06    0.201420E-04    0.201423E-04    0.925890E-11    0.925896E-11    0.925890E-11    0.925896E-11
      0.937546E-06    0.209640E-04    0.209643E-04    0.100301E-10    0.100301E-10    0.100301E-10    0.100301E-10
      0.975808E-06    0.218196E-04    0.218199E-04    0.108654E-10    0.108655E-10    0.108654E-10    0.108655E-10
      0.101563E-05    0.227101E-04    0.227103E-04    0.117704E-10    0.117704E-10    0.117704E-10    0.117704E-10
      0.105708E-05    0.236369E-04    0.236372E-04    0.127507E-10    0.127508E-10    0.127507E-10    0.127508E-10
      0.110022E-05    0.246015E-04    0.246018E-04    0.138127E-10    0.138127E-10    0.138127E-10    0.138127E-10
      0.114512E-05    0.256055E-04    0.256058E-04    0.149631E-10    0.149632E-10    0.149631E-10    0.149632E-10
      0.119185E-05    0.266505E-04    0.266508E-04    0.162093E-10    0.162094E-10    0.162093E-10    0.162094E-10
      0.124049E-05    0.277381E-04    0.277384E-04    0.175593E-10    0.175594E-10    0.175593E-10    0.175594E-10
      0.129112E-05    0.288701E-04    0.288705E-04    0.190218E-10    0.190219E-10    0.190218E-10    0.190219E-10
      0.134381E-05    0.300483E-04    0.300487E-04    0.206060E-10    0.206062E-10    0.206060E-10    0.206062E-10
      0.139865E-05    0.312746E-04    0.312750E-04    0.223223E-10    0.223224E-10    0.223223E-10    0.223224E-10
      0.145573E-05    0.325509E-04    0.325513E-04    0.241814E-10    0.241816E-10    0.241814E-10    0.241816E-10
      0.151514E-05    0.338794E-04    0.338798E-04    0.261954E-10    0.261956E-10    0.261954E-10    0.261956E-10
      0.157698E-05    0.352620E-04    0.352624E-04    0.283771E-10    0.283773E-10    0.283771E-10    0.283773E-10
      0.164134E-05    0.367010E-04    0.367015E-04    0.307406E-10    0.307408E-10    0.307406E-10    0.307408E-10
      0.170832E-05    0.381988E-04    0.381993E-04    0.333009E-10    0.333011E-10    0.333009E-10    0.333011E-10
      0.177804E-05    0.397577E-04    0.397582E-04    0.360744E-10    0.360746E-10    0.360744E-10    0.360746E-10
      0.185060E-05    0.413803E-04    0.413807E-04    0.390789E-10    0.390791E-10    0.390789E-10    0.390791E-10
      0.192613E-05    0.430690E-04    0.430695E-04    0.423337E-10    0.423339E-10    0.423337E-10    0.423339E-10
      0.200473E-05    0.448267E-04    0.448272E-04    0.458595E-10    0.458598E-10    0.458595E-10    0.458598E-10
      0.208655E-05    0.466561E-04    0.466566E-04    0.496790E-10    0.496793E-10    0.496790E-10    0.496793E-10
      0.217170E-05    0.485601E-04    0.485607E-04    0.538166E-10    0.538169E-10    0.538166E-10    0.538169E-10
      0.226033E-05    0.505419E-04    0.505425E-04    0.582988E-10    0.582992E-10    0.582988E-10    0.582992E-10
      0.235257E-05    0.526045E-04    0.526051E-04    0.631544E-10    0.631547E-10    0.631544E-10    0.631547E-10
      0.244858E-05    0.547513E-04    0.547519E-04    0.684143E-10    0.684147E-10    0.684143E-10    0.684147E-10
      0.254851E-05    0.569857E-04    0.569864E-04    0.741123E-10    0.741127E-10    0.741123E-10    0.741127E-10
