
            r               1s              2s              2p
        0.0000009   0.0000000E+00   0.0000000E+00   0.0000000E+00
        0.0000009   0.1876980E-04   0.3789905E-05   0.2659406E-11
        0.0000009   0.1953581E-04   0.3944574E-05   0.2880900E-11
        0.0000010   0.2033308E-04   0.4105554E-05   0.3120842E-11
        0.0000010   0.2116288E-04   0.4273104E-05   0.3380768E-11
        0.0000011   0.2202655E-04   0.4447493E-05   0.3662341E-11
        0.0000011   0.2292547E-04   0.4628997E-05   0.3967367E-11
        0.0000011   0.2386107E-04   0.4817909E-05   0.4297797E-11
        0.0000012   0.2483486E-04   0.5014531E-05   0.4655747E-11
        0.0000012   0.2584838E-04   0.5219177E-05   0.5043510E-11
        0.0000013   0.2690327E-04   0.5432174E-05   0.5463569E-11
        0.0000013   0.2800120E-04   0.5653864E-05   0.5918612E-11
        0.0000014   0.2914395E-04   0.5884602E-05   0.6411555E-11
        0.0000015   0.3033333E-04   0.6124755E-05   0.6945554E-11
        0.0000015   0.3157125E-04   0.6374709E-05   0.7524028E-11
        0.0000016   0.3285968E-04   0.6634864E-05   0.8150681E-11
        0.0000016   0.3420070E-04   0.6905636E-05   0.8829525E-11
        0.0000017   0.3559645E-04   0.7187458E-05   0.9564909E-11
        0.0000018   0.3704916E-04   0.7480782E-05   0.1036154E-10
        0.0000019   0.3856115E-04   0.7786076E-05   0.1122452E-10
        0.0000019   0.4013484E-04   0.8103828E-05   0.1215938E-10
        0.0000020   0.4177276E-04   0.8434549E-05   0.1317209E-10
        0.0000021   0.4347752E-04   0.8778766E-05   0.1426915E-10
        0.0000022   0.4525186E-04   0.9137030E-05   0.1545759E-10
        0.0000023   0.4709860E-04   0.9509916E-05   0.1674500E-10
        0.0000024   0.4902071E-04   0.9898018E-05   0.1813963E-10
        0.0000024   0.5102126E-04   0.1030196E-04   0.1965043E-10
        0.0000025   0.5310345E-04   0.1072238E-04   0.2128705E-10
        0.0000027   0.5527061E-04   0.1115997E-04   0.2305998E-10
        0.0000028   0.5752622E-04   0.1161541E-04   0.2498057E-10
        0.0000029   0.5987387E-04   0.1208944E-04   0.2706112E-10
        0.0000030   0.6231734E-04   0.1258281E-04   0.2931495E-10
        0.0000031   0.6486051E-04   0.1309631E-04   0.3175649E-10
        0.0000032   0.6750748E-04   0.1363078E-04   0.3440139E-10
        0.0000034   0.7026247E-04   0.1418705E-04   0.3726656E-10
        0.0000035   0.7312988E-04   0.1476602E-04   0.4037037E-10
        0.0000037   0.7611431E-04   0.1536862E-04   0.4373268E-10
        0.0000038   0.7922054E-04   0.1599582E-04   0.4737503E-10
        0.0000040   0.8245352E-04   0.1664861E-04   0.5132073E-10
        0.0000041   0.8581845E-04   0.1732803E-04   0.5559506E-10
        0.0000043   0.8932069E-04   0.1803519E-04   0.6022538E-10
        0.0000045   0.9296585E-04   0.1877120E-04   0.6524135E-10
        0.0000046   0.9675977E-04   0.1953725E-04   0.7067507E-10
        0.0000048   0.1007085E-03   0.2033456E-04   0.7656135E-10
        0.0000050   0.1048184E-03   0.2116441E-04   0.8293788E-10
        0.0000052   0.1090960E-03   0.2202812E-04   0.8984548E-10
        0.0000054   0.1135482E-03   0.2292708E-04   0.9732838E-10
        0.0000057   0.1181820E-03   0.2386273E-04   0.1054345E-09
        0.0000059   0.1230050E-03   0.2483656E-04   0.1142158E-09
        0.0000061   0.1280248E-03   0.2585012E-04   0.1237284E-09
        0.0000064   0.1332494E-03   0.2690505E-04   0.1340333E-09
        0.0000067   0.1386872E-03   0.2800303E-04   0.1451964E-09
        0.0000069   0.1443469E-03   0.2914582E-04   0.1572893E-09
        0.0000072   0.1502376E-03   0.3033524E-04   0.1703893E-09
        0.0000075   0.1563687E-03   0.3157319E-04   0.1845804E-09
        0.0000078   0.1627500E-03   0.3286167E-04   0.1999533E-09
        0.0000081   0.1693916E-03   0.3420272E-04   0.2166067E-09
        0.0000085   0.1763043E-03   0.3559850E-04   0.2346470E-09
        0.0000088   0.1834991E-03   0.3705124E-04   0.2541898E-09
        0.0000092   0.1909875E-03   0.3856325E-04   0.2753602E-09
        0.0000095   0.1987815E-03   0.4013697E-04   0.2982939E-09
        0.0000099   0.2068935E-03   0.4177491E-04   0.3231375E-09
        0.0000103   0.2153365E-03   0.4347969E-04   0.3500503E-09
        0.0000108   0.2241241E-03   0.4525403E-04   0.3792045E-09
        0.0000112   0.2332703E-03   0.4710077E-04   0.4107869E-09
        0.0000117   0.2427896E-03   0.4902288E-04   0.4449995E-09
        0.0000121   0.2526974E-03   0.5102341E-04   0.4820616E-09
        0.0000126   0.2630095E-03   0.5310558E-04   0.5222104E-09
        0.0000131   0.2737424E-03   0.5527272E-04   0.5657029E-09
        0.0000137   0.2849133E-03   0.5752828E-04   0.6128177E-09
        0.0000142   0.2965400E-03   0.5987588E-04   0.6638565E-09
        0.0000148   0.3086411E-03   0.6231928E-04   0.7191460E-09
        0.0000154   0.3212360E-03   0.6486237E-04   0.7790402E-09
        0.0000160   0.3343448E-03   0.6750924E-04   0.8439227E-09
        0.0000167   0.3479885E-03   0.7026411E-04   0.9142088E-09
        0.0000174   0.3621889E-03   0.7313138E-04   0.9903487E-09
        0.0000181   0.3769687E-03   0.7611565E-04   0.1072830E-08
        0.0000188   0.3923516E-03   0.7922169E-04   0.1162180E-08
        0.0000196   0.4083621E-03   0.8245446E-04   0.1258972E-08
        0.0000204   0.4250260E-03   0.8581914E-04   0.1363825E-08
        0.0000212   0.4423697E-03   0.8932110E-04   0.1477411E-08
        0.0000221   0.4604211E-03   0.9296595E-04   0.1600456E-08
        0.0000230   0.4792090E-03   0.9675951E-04   0.1733749E-08
        0.0000239   0.4987635E-03   0.1007079E-03   0.1878143E-08
        0.0000249   0.5191158E-03   0.1048173E-03   0.2034562E-08
        0.0000259   0.5402985E-03   0.1090944E-03   0.2204009E-08
        0.0000270   0.5623454E-03   0.1135460E-03   0.2387567E-08
        0.0000281   0.5852919E-03   0.1181792E-03   0.2586412E-08
        0.0000292   0.6091745E-03   0.1230015E-03   0.2801818E-08
        0.0000304   0.6340314E-03   0.1280205E-03   0.3035163E-08
        0.0000317   0.6599025E-03   0.1332442E-03   0.3287941E-08
        0.0000330   0.6868291E-03   0.1386811E-03   0.3561771E-08
        0.0000343   0.7148542E-03   0.1443398E-03   0.3858406E-08
        0.0000357   0.7440225E-03   0.1502293E-03   0.4179745E-08
        0.0000372   0.7743809E-03   0.1563591E-03   0.4527845E-08
        0.0000387   0.8059776E-03   0.1627390E-03   0.4904935E-08
        0.0000403   0.8388634E-03   0.1693791E-03   0.5313429E-08
        0.0000419   0.8730906E-03   0.1762901E-03   0.5755943E-08
        0.0000436   0.9087141E-03   0.1834830E-03   0.6235308E-08
        0.0000454   0.9457908E-03   0.1909694E-03   0.6754595E-08
        0.0000473   0.9843798E-03   0.1987611E-03   0.7317127E-08
        0.0000492   0.1024543E-02   0.2068706E-03   0.7926506E-08
        0.0000512   0.1066344E-02   0.2153109E-03   0.8586633E-08
        0.0000533   0.1109851E-02   0.2240955E-03   0.9301734E-08
        0.0000555   0.1155132E-02   0.2332384E-03   0.1007639E-07
        0.0000577   0.1202259E-02   0.2427542E-03   0.1091555E-07
        0.0000601   0.1251309E-02   0.2526582E-03   0.1182460E-07
        0.0000625   0.1302360E-02   0.2629660E-03   0.1280934E-07
        0.0000651   0.1355492E-02   0.2736943E-03   0.1387610E-07
        0.0000677   0.1410792E-02   0.2848600E-03   0.1503168E-07
        0.0000705   0.1468346E-02   0.2964812E-03   0.1628350E-07
        0.0000734   0.1528248E-02   0.3085762E-03   0.1763956E-07
        0.0000764   0.1590592E-02   0.3211645E-03   0.1910855E-07
        0.0000795   0.1655479E-02   0.3342661E-03   0.2069986E-07
        0.0000827   0.1723011E-02   0.3479019E-03   0.2242369E-07
        0.0000861   0.1793298E-02   0.3620938E-03   0.2429106E-07
        0.0000896   0.1866450E-02   0.3768643E-03   0.2631393E-07
        0.0000933   0.1942584E-02   0.3922370E-03   0.2850525E-07
        0.0000971   0.2021823E-02   0.4082365E-03   0.3087904E-07
        0.0001010   0.2104292E-02   0.4248882E-03   0.3345049E-07
        0.0001052   0.2190123E-02   0.4422188E-03   0.3623606E-07
        0.0001095   0.2279454E-02   0.4602559E-03   0.3925358E-07
        0.0001139   0.2372425E-02   0.4790283E-03   0.4252236E-07
        0.0001186   0.2469186E-02   0.4985659E-03   0.4606332E-07
        0.0001234   0.2569892E-02   0.5188998E-03   0.4989912E-07
        0.0001284   0.2674702E-02   0.5400625E-03   0.5405431E-07
        0.0001337   0.2783783E-02   0.5620876E-03   0.5855547E-07
        0.0001391   0.2897310E-02   0.5850104E-03   0.6343141E-07
        0.0001448   0.3015463E-02   0.6088673E-03   0.6871332E-07
        0.0001507   0.3138431E-02   0.6336963E-03   0.7443502E-07
        0.0001569   0.3266409E-02   0.6595370E-03   0.8063310E-07
        0.0001633   0.3399601E-02   0.6864306E-03   0.8734722E-07
        0.0001699   0.3538220E-02   0.7144198E-03   0.9462033E-07
        0.0001769   0.3682486E-02   0.7435492E-03   0.1024990E-06
        0.0001841   0.3832628E-02   0.7738652E-03   0.1110336E-06
        0.0001916   0.3988886E-02   0.8054160E-03   0.1202787E-06
        0.0001994   0.4151508E-02   0.8382519E-03   0.1302935E-06
        0.0002076   0.4320753E-02   0.8724249E-03   0.1411420E-06
        0.0002160   0.4496890E-02   0.9079896E-03   0.1528937E-06
        0.0002249   0.4680199E-02   0.9450024E-03   0.1656236E-06
        0.0002340   0.4870971E-02   0.9835221E-03   0.1794133E-06
        0.0002436   0.5069509E-02   0.1023610E-02   0.1943509E-06
        0.0002535   0.5276129E-02   0.1065330E-02   0.2105319E-06
        0.0002639   0.5491159E-02   0.1108747E-02   0.2280598E-06
        0.0002746   0.5714940E-02   0.1153932E-02   0.2470468E-06
        0.0002858   0.5947827E-02   0.1200956E-02   0.2676141E-06
        0.0002975   0.6190190E-02   0.1249892E-02   0.2898934E-06
        0.0003097   0.6442413E-02   0.1300820E-02   0.3140271E-06
        0.0003223   0.6704896E-02   0.1353819E-02   0.3401693E-06
        0.0003354   0.6978055E-02   0.1408974E-02   0.3684874E-06
        0.0003491   0.7262322E-02   0.1466372E-02   0.3991623E-06
        0.0003634   0.7558148E-02   0.1526103E-02   0.4323900E-06
        0.0003782   0.7866000E-02   0.1588263E-02   0.4683829E-06
        0.0003936   0.8186366E-02   0.1652950E-02   0.5073711E-06
        0.0004097   0.8519752E-02   0.1720265E-02   0.5496037E-06
        0.0004264   0.8866685E-02   0.1790316E-02   0.5953506E-06
        0.0004438   0.9227713E-02   0.1863213E-02   0.6449040E-06
        0.0004619   0.9603406E-02   0.1939071E-02   0.6985806E-06
        0.0004808   0.9994357E-02   0.2018010E-02   0.7567231E-06
        0.0005004   0.1040118E-01   0.2100154E-02   0.8197031E-06
        0.0005208   0.1082452E-01   0.2185633E-02   0.8879228E-06
        0.0005421   0.1126504E-01   0.2274581E-02   0.9618177E-06
        0.0005642   0.1172344E-01   0.2367138E-02   0.1041860E-05
        0.0005872   0.1220044E-01   0.2463450E-02   0.1128560E-05
        0.0006112   0.1269678E-01   0.2563668E-02   0.1222472E-05
        0.0006361   0.1321324E-01   0.2667950E-02   0.1324195E-05
        0.0006621   0.1375064E-01   0.2776459E-02   0.1434379E-05
        0.0006891   0.1430982E-01   0.2889366E-02   0.1553726E-05
        0.0007172   0.1489166E-01   0.3006847E-02   0.1682998E-05
        0.0007465   0.1549706E-01   0.3129086E-02   0.1823020E-05
        0.0007770   0.1612697E-01   0.3256275E-02   0.1974685E-05
        0.0008087   0.1678238E-01   0.3388611E-02   0.2138959E-05
        0.0008417   0.1746431E-01   0.3526303E-02   0.2316892E-05
        0.0008760   0.1817383E-01   0.3669563E-02   0.2509617E-05
        0.0009118   0.1891203E-01   0.3818617E-02   0.2718362E-05
        0.0009490   0.1968007E-01   0.3973694E-02   0.2944458E-05
        0.0009877   0.2047914E-01   0.4135038E-02   0.3189346E-05
        0.0010280   0.2131048E-01   0.4302897E-02   0.3454585E-05
        0.0010699   0.2217538E-01   0.4477532E-02   0.3741866E-05
        0.0011136   0.2307518E-01   0.4659213E-02   0.4053017E-05
        0.0011590   0.2401127E-01   0.4848223E-02   0.4390020E-05
        0.0012063   0.2498509E-01   0.5044851E-02   0.4755019E-05
        0.0012555   0.2599815E-01   0.5249401E-02   0.5150337E-05
        0.0013068   0.2705201E-01   0.5462189E-02   0.5578490E-05
        0.0013601   0.2814828E-01   0.5683541E-02   0.6042200E-05
        0.0014156   0.2928866E-01   0.5913796E-02   0.6544415E-05
        0.0014733   0.3047487E-01   0.6153308E-02   0.7088329E-05
        0.0015334   0.3170875E-01   0.6402442E-02   0.7677397E-05
        0.0015960   0.3299216E-01   0.6661579E-02   0.8315361E-05
        0.0016611   0.3432707E-01   0.6931113E-02   0.9006274E-05
        0.0017289   0.3571550E-01   0.7211453E-02   0.9754521E-05
        0.0017994   0.3715956E-01   0.7503025E-02   0.1056485E-04
        0.0018728   0.3866144E-01   0.7806270E-02   0.1144240E-04
        0.0019493   0.4022339E-01   0.8121645E-02   0.1239275E-04
        0.0020288   0.4184778E-01   0.8449625E-02   0.1342190E-04
        0.0021115   0.4353704E-01   0.8790703E-02   0.1453639E-04
        0.0021977   0.4529370E-01   0.9145389E-02   0.1574327E-04
        0.0022874   0.4712039E-01   0.9514214E-02   0.1705018E-04
        0.0023807   0.4901982E-01   0.9897725E-02   0.1846540E-04
        0.0024778   0.5099482E-01   0.1029649E-01   0.1999786E-04
        0.0025789   0.5304831E-01   0.1071111E-01   0.2165727E-04
        0.0026841   0.5518332E-01   0.1114218E-01   0.2345411E-04
        0.0027936   0.5740299E-01   0.1159034E-01   0.2539972E-04
        0.0029075   0.5971057E-01   0.1205625E-01   0.2750638E-04
        0.0030261   0.6210942E-01   0.1254059E-01   0.2978738E-04
        0.0031495   0.6460304E-01   0.1304406E-01   0.3225709E-04
        0.0032780   0.6719504E-01   0.1356739E-01   0.3493108E-04
        0.0034117   0.6988914E-01   0.1411133E-01   0.3782618E-04
        0.0035509   0.7268923E-01   0.1467667E-01   0.4096060E-04
        0.0036957   0.7559928E-01   0.1526421E-01   0.4435404E-04
        0.0038464   0.7862345E-01   0.1587478E-01   0.4802783E-04
        0.0040033   0.8176601E-01   0.1650925E-01   0.5200502E-04
        0.0041666   0.8503138E-01   0.1716851E-01   0.5631054E-04
        0.0043365   0.8842412E-01   0.1785347E-01   0.6097140E-04
        0.0045134   0.9194895E-01   0.1856510E-01   0.6601675E-04
        0.0046974   0.9561075E-01   0.1930438E-01   0.7147816E-04
        0.0048890   0.9941453E-01   0.2007231E-01   0.7738976E-04
        0.0050883   0.1033655E+00   0.2086995E-01   0.8378845E-04
        0.0052958   0.1074690E+00   0.2169836E-01   0.9071413E-04
        0.0055118   0.1117305E+00   0.2255867E-01   0.9820994E-04
        0.0057365   0.1161558E+00   0.2345202E-01   0.1063225E-03
        0.0059704   0.1207506E+00   0.2437959E-01   0.1151023E-03
        0.0062138   0.1255211E+00   0.2534260E-01   0.1246038E-03
        0.0064671   0.1304734E+00   0.2634228E-01   0.1348859E-03
        0.0067308   0.1356138E+00   0.2737994E-01   0.1460122E-03
        0.0070052   0.1409491E+00   0.2845687E-01   0.1580516E-03
        0.0072907   0.1464858E+00   0.2957445E-01   0.1710783E-03
        0.0075879   0.1522308E+00   0.3073407E-01   0.1851728E-03
        0.0078972   0.1581914E+00   0.3193714E-01   0.2004216E-03
        0.0082191   0.1643747E+00   0.3318513E-01   0.2169186E-03
        0.0085541   0.1707882E+00   0.3447953E-01   0.2347650E-03
        0.0089027   0.1774396E+00   0.3582188E-01   0.2540699E-03
        0.0092655   0.1843365E+00   0.3721374E-01   0.2749515E-03
        0.0096430   0.1914870E+00   0.3865670E-01   0.2975371E-03
        0.0100359   0.1988991E+00   0.4015240E-01   0.3219642E-03
        0.0104448   0.2065813E+00   0.4170249E-01   0.3483813E-03
        0.0108704   0.2145418E+00   0.4330866E-01   0.3769486E-03
        0.0113132   0.2227893E+00   0.4497263E-01   0.4078388E-03
        0.0117740   0.2313325E+00   0.4669614E-01   0.4412384E-03
        0.0122536   0.2401802E+00   0.4848095E-01   0.4773484E-03
        0.0127527   0.2493414E+00   0.5032884E-01   0.5163858E-03
        0.0132721   0.2588251E+00   0.5224162E-01   0.5585844E-03
        0.0138125   0.2686405E+00   0.5422111E-01   0.6041962E-03
        0.0143750   0.2787967E+00   0.5626911E-01   0.6534928E-03
        0.0149602   0.2893030E+00   0.5838748E-01   0.7067671E-03
        0.0155693   0.3001687E+00   0.6057804E-01   0.7643344E-03
        0.0162030   0.3114031E+00   0.6284262E-01   0.8265345E-03
        0.0168625   0.3230154E+00   0.6518304E-01   0.8937330E-03
        0.0175488   0.3350149E+00   0.6760110E-01   0.9663239E-03
        0.0182629   0.3474106E+00   0.7009858E-01   0.1044731E-02
        0.0190060   0.3602116E+00   0.7267722E-01   0.1129410E-02
        0.0197793   0.3734268E+00   0.7533875E-01   0.1220853E-02
        0.0205839   0.3870648E+00   0.7808481E-01   0.1319585E-02
        0.0214211   0.4011341E+00   0.8091700E-01   0.1426176E-02
        0.0222922   0.4156428E+00   0.8383687E-01   0.1541234E-02
        0.0231987   0.4305987E+00   0.8684585E-01   0.1665414E-02
        0.0241418   0.4460093E+00   0.8994531E-01   0.1799420E-02
        0.0251232   0.4618815E+00   0.9313649E-01   0.1944007E-02
        0.0261443   0.4782217E+00   0.9642051E-01   0.2099987E-02
        0.0272067   0.4950359E+00   0.9979836E-01   0.2268227E-02
        0.0283121   0.5123292E+00   0.1032709E+00   0.2449662E-02
        0.0294622   0.5301060E+00   0.1068387E+00   0.2645292E-02
        0.0306587   0.5483701E+00   0.1105023E+00   0.2856187E-02
        0.0319037   0.5671242E+00   0.1142619E+00   0.3083495E-02
        0.0331989   0.5863700E+00   0.1181175E+00   0.3328445E-02
        0.0345464   0.6061081E+00   0.1220689E+00   0.3592351E-02
        0.0359484   0.6263379E+00   0.1261154E+00   0.3876620E-02
        0.0374068   0.6470576E+00   0.1302564E+00   0.4182754E-02
        0.0389241   0.6682638E+00   0.1344904E+00   0.4512358E-02
        0.0405025   0.6899516E+00   0.1388161E+00   0.4867148E-02
        0.0421446   0.7121144E+00   0.1432313E+00   0.5248952E-02
        0.0438527   0.7347440E+00   0.1477337E+00   0.5659721E-02
        0.0456296   0.7578299E+00   0.1523204E+00   0.6101536E-02
        0.0474779   0.7813598E+00   0.1569879E+00   0.6576609E-02
        0.0494005   0.8053192E+00   0.1617324E+00   0.7087299E-02
        0.0514004   0.8296909E+00   0.1665493E+00   0.7636111E-02
        0.0534805   0.8544557E+00   0.1714334E+00   0.8225711E-02
        0.0556441   0.8795913E+00   0.1763789E+00   0.8858926E-02
        0.0578944   0.9050729E+00   0.1813794E+00   0.9538758E-02
