
            r               1s              2s              2p
        0.0000015   0.0000000E+00   0.0000000E+00   0.0000000E+00
        0.0000015   0.7960533E-04   0.1844439E-04   0.4902683E-10
        0.0000016   0.8285401E-04   0.1919710E-04   0.5311012E-10
        0.0000017   0.8623527E-04   0.1998053E-04   0.5753349E-10
        0.0000017   0.8975452E-04   0.2079593E-04   0.6232526E-10
        0.0000018   0.9341738E-04   0.2164461E-04   0.6751612E-10
        0.0000019   0.9722973E-04   0.2252792E-04   0.7313931E-10
        0.0000020   0.1011976E-03   0.2344728E-04   0.7923084E-10
        0.0000020   0.1053275E-03   0.2440416E-04   0.8582971E-10
        0.0000021   0.1096259E-03   0.2540008E-04   0.9297818E-10
        0.0000022   0.1140997E-03   0.2643665E-04   0.1007220E-09
        0.0000023   0.1187561E-03   0.2751553E-04   0.1091108E-09
        0.0000024   0.1236025E-03   0.2863843E-04   0.1181983E-09
        0.0000025   0.1286466E-03   0.2980715E-04   0.1280426E-09
        0.0000026   0.1338966E-03   0.3102357E-04   0.1387068E-09
        0.0000027   0.1393609E-03   0.3228963E-04   0.1502592E-09
        0.0000028   0.1450482E-03   0.3360735E-04   0.1627738E-09
        0.0000029   0.1509675E-03   0.3497885E-04   0.1763306E-09
        0.0000030   0.1571284E-03   0.3640632E-04   0.1910166E-09
        0.0000032   0.1635407E-03   0.3789204E-04   0.2069257E-09
        0.0000033   0.1702147E-03   0.3943839E-04   0.2241597E-09
        0.0000034   0.1771611E-03   0.4104784E-04   0.2428292E-09
        0.0000036   0.1843909E-03   0.4272297E-04   0.2630535E-09
        0.0000037   0.1919157E-03   0.4446647E-04   0.2849623E-09
        0.0000039   0.1997477E-03   0.4628111E-04   0.3086957E-09
        0.0000040   0.2078992E-03   0.4816980E-04   0.3344058E-09
        0.0000042   0.2163834E-03   0.5013556E-04   0.3622572E-09
        0.0000044   0.2252137E-03   0.5218155E-04   0.3924282E-09
        0.0000045   0.2344045E-03   0.5431102E-04   0.4251120E-09
        0.0000047   0.2439703E-03   0.5652739E-04   0.4605179E-09
        0.0000049   0.2539264E-03   0.5883421E-04   0.4988726E-09
        0.0000051   0.2642888E-03   0.6123516E-04   0.5404217E-09
        0.0000053   0.2750741E-03   0.6373408E-04   0.5854312E-09
        0.0000055   0.2862995E-03   0.6633498E-04   0.6341894E-09
        0.0000058   0.2979829E-03   0.6904201E-04   0.6870084E-09
        0.0000060   0.3101431E-03   0.7185951E-04   0.7442264E-09
        0.0000062   0.3227996E-03   0.7479197E-04   0.8062098E-09
        0.0000065   0.3359724E-03   0.7784410E-04   0.8733556E-09
        0.0000068   0.3496829E-03   0.8102077E-04   0.9460935E-09
        0.0000070   0.3639527E-03   0.8432707E-04   0.1024889E-08
        0.0000073   0.3788049E-03   0.8776829E-04   0.1110248E-08
        0.0000076   0.3942631E-03   0.9134992E-04   0.1202715E-08
        0.0000079   0.4103521E-03   0.9507770E-04   0.1302884E-08
        0.0000083   0.4270975E-03   0.9895759E-04   0.1411395E-08
        0.0000086   0.4445263E-03   0.1029958E-03   0.1528943E-08
        0.0000090   0.4626662E-03   0.1071988E-03   0.1656282E-08
        0.0000093   0.4815464E-03   0.1115733E-03   0.1794225E-08
        0.0000097   0.5011968E-03   0.1161262E-03   0.1943657E-08
        0.0000101   0.5216491E-03   0.1208650E-03   0.2105535E-08
        0.0000105   0.5429359E-03   0.1257971E-03   0.2280894E-08
        0.0000109   0.5650913E-03   0.1309305E-03   0.2470857E-08
        0.0000114   0.5881507E-03   0.1362733E-03   0.2676642E-08
        0.0000119   0.6121509E-03   0.1418341E-03   0.2899565E-08
        0.0000123   0.6371303E-03   0.1476217E-03   0.3141053E-08
        0.0000128   0.6631290E-03   0.1536456E-03   0.3402654E-08
        0.0000134   0.6901884E-03   0.1599152E-03   0.3686041E-08
        0.0000139   0.7183519E-03   0.1664406E-03   0.3993030E-08
        0.0000145   0.7476644E-03   0.1732323E-03   0.4325585E-08
        0.0000151   0.7781729E-03   0.1803010E-03   0.4685836E-08
        0.0000157   0.8099261E-03   0.1876582E-03   0.5076090E-08
        0.0000163   0.8429748E-03   0.1953155E-03   0.5498845E-08
        0.0000170   0.8773718E-03   0.2032852E-03   0.5956808E-08
        0.0000177   0.9131722E-03   0.2115800E-03   0.6452910E-08
        0.0000184   0.9504330E-03   0.2202133E-03   0.6990329E-08
        0.0000192   0.9892140E-03   0.2291988E-03   0.7572504E-08
        0.0000199   0.1029577E-02   0.2385508E-03   0.8203164E-08
        0.0000207   0.1071587E-02   0.2482844E-03   0.8886345E-08
        0.0000216   0.1115310E-02   0.2584150E-03   0.9626421E-08
        0.0000225   0.1160818E-02   0.2689590E-03   0.1042813E-07
        0.0000234   0.1208181E-02   0.2799330E-03   0.1129661E-07
        0.0000243   0.1257477E-02   0.2913547E-03   0.1223741E-07
        0.0000253   0.1308783E-02   0.3032423E-03   0.1325656E-07
        0.0000264   0.1362183E-02   0.3156148E-03   0.1436059E-07
        0.0000275   0.1417760E-02   0.3284920E-03   0.1555655E-07
        0.0000286   0.1475605E-02   0.3418945E-03   0.1685212E-07
        0.0000297   0.1535809E-02   0.3558436E-03   0.1825558E-07
        0.0000310   0.1598468E-02   0.3703617E-03   0.1977591E-07
        0.0000322   0.1663684E-02   0.3854719E-03   0.2142285E-07
        0.0000335   0.1731559E-02   0.4011984E-03   0.2320694E-07
        0.0000349   0.1802202E-02   0.4175664E-03   0.2513961E-07
        0.0000363   0.1875726E-02   0.4346018E-03   0.2723322E-07
        0.0000378   0.1952249E-02   0.4523320E-03   0.2950117E-07
        0.0000393   0.2031893E-02   0.4707853E-03   0.3195799E-07
        0.0000410   0.2114785E-02   0.4899911E-03   0.3461940E-07
        0.0000426   0.2201057E-02   0.5099802E-03   0.3750243E-07
        0.0000444   0.2290847E-02   0.5307843E-03   0.4062554E-07
        0.0000462   0.2384298E-02   0.5524367E-03   0.4400872E-07
        0.0000481   0.2481559E-02   0.5749720E-03   0.4767363E-07
        0.0000500   0.2582787E-02   0.5984262E-03   0.5164371E-07
        0.0000521   0.2688142E-02   0.6228367E-03   0.5594439E-07
        0.0000542   0.2797792E-02   0.6482423E-03   0.6060319E-07
        0.0000564   0.2911912E-02   0.6746838E-03   0.6564992E-07
        0.0000587   0.3030685E-02   0.7022031E-03   0.7111688E-07
        0.0000611   0.3154299E-02   0.7308444E-03   0.7703907E-07
        0.0000636   0.3282953E-02   0.7606531E-03   0.8345438E-07
        0.0000662   0.3416850E-02   0.7916769E-03   0.9040387E-07
        0.0000689   0.3556206E-02   0.8239652E-03   0.9793201E-07
        0.0000717   0.3701241E-02   0.8575695E-03   0.1060870E-06
        0.0000746   0.3852187E-02   0.8925434E-03   0.1149210E-06
        0.0000777   0.4009284E-02   0.9289425E-03   0.1244905E-06
        0.0000808   0.4172783E-02   0.9668250E-03   0.1348568E-06
        0.0000841   0.4342945E-02   0.1006251E-02   0.1460862E-06
        0.0000876   0.4520040E-02   0.1047284E-02   0.1582505E-06
        0.0000911   0.4704351E-02   0.1089988E-02   0.1714277E-06
        0.0000949   0.4896170E-02   0.1134432E-02   0.1857019E-06
        0.0000987   0.5095804E-02   0.1180687E-02   0.2011646E-06
        0.0001028   0.5303570E-02   0.1228826E-02   0.2179145E-06
        0.0001070   0.5519798E-02   0.1278925E-02   0.2360590E-06
        0.0001113   0.5744833E-02   0.1331065E-02   0.2557141E-06
        0.0001159   0.5979032E-02   0.1385329E-02   0.2770054E-06
        0.0001206   0.6222768E-02   0.1441802E-02   0.3000692E-06
        0.0001255   0.6476429E-02   0.1500575E-02   0.3250531E-06
        0.0001306   0.6740417E-02   0.1561740E-02   0.3521167E-06
        0.0001360   0.7015152E-02   0.1625395E-02   0.3814332E-06
        0.0001415   0.7301070E-02   0.1691642E-02   0.4131901E-06
        0.0001473   0.7598626E-02   0.1760585E-02   0.4475905E-06
        0.0001533   0.7908291E-02   0.1832334E-02   0.4848543E-06
        0.0001596   0.8230557E-02   0.1907002E-02   0.5252199E-06
        0.0001661   0.8565936E-02   0.1984709E-02   0.5689453E-06
        0.0001729   0.8914958E-02   0.2065576E-02   0.6163100E-06
        0.0001799   0.9278178E-02   0.2149734E-02   0.6676170E-06
        0.0001872   0.9656170E-02   0.2237314E-02   0.7231941E-06
        0.0001949   0.1004953E-01   0.2328455E-02   0.7833967E-06
        0.0002028   0.1045889E-01   0.2423302E-02   0.8486095E-06
        0.0002111   0.1088489E-01   0.2522006E-02   0.9192494E-06
        0.0002197   0.1132821E-01   0.2624721E-02   0.9957678E-06
        0.0002287   0.1178954E-01   0.2731611E-02   0.1078654E-05
        0.0002380   0.1226962E-01   0.2842844E-02   0.1168437E-05
        0.0002477   0.1276921E-01   0.2958596E-02   0.1265691E-05
        0.0002579   0.1328908E-01   0.3079050E-02   0.1371036E-05
        0.0002684   0.1383007E-01   0.3204396E-02   0.1485147E-05
        0.0002793   0.1439303E-01   0.3334831E-02   0.1608752E-05
        0.0002907   0.1497883E-01   0.3470562E-02   0.1742640E-05
        0.0003026   0.1558842E-01   0.3611801E-02   0.1887667E-05
        0.0003149   0.1622274E-01   0.3758771E-02   0.2044758E-05
        0.0003278   0.1688279E-01   0.3911703E-02   0.2214917E-05
        0.0003412   0.1756961E-01   0.4070838E-02   0.2399229E-05
        0.0003551   0.1828428E-01   0.4236425E-02   0.2598872E-05
        0.0003696   0.1902792E-01   0.4408724E-02   0.2815119E-05
        0.0003847   0.1980170E-01   0.4588006E-02   0.3049351E-05
        0.0004004   0.2060682E-01   0.4774551E-02   0.3303061E-05
        0.0004167   0.2144456E-01   0.4968651E-02   0.3577869E-05
        0.0004337   0.2231621E-01   0.5170611E-02   0.3875528E-05
        0.0004514   0.2322314E-01   0.5380744E-02   0.4197935E-05
        0.0004698   0.2416677E-01   0.5599380E-02   0.4547147E-05
        0.0004890   0.2514857E-01   0.5826859E-02   0.4925391E-05
        0.0005089   0.2617006E-01   0.6063535E-02   0.5335076E-05
        0.0005297   0.2723284E-01   0.6309778E-02   0.5778815E-05
        0.0005513   0.2833856E-01   0.6565968E-02   0.6259435E-05
        0.0005738   0.2948893E-01   0.6832505E-02   0.6779997E-05
        0.0005972   0.3068573E-01   0.7109800E-02   0.7343818E-05
        0.0006216   0.3193083E-01   0.7398284E-02   0.7954487E-05
        0.0006470   0.3322614E-01   0.7698402E-02   0.8615893E-05
        0.0006734   0.3457367E-01   0.8010618E-02   0.9332246E-05
        0.0007008   0.3597549E-01   0.8335413E-02   0.1010810E-04
        0.0007294   0.3743376E-01   0.8673287E-02   0.1094840E-04
        0.0007592   0.3895071E-01   0.9024758E-02   0.1185849E-04
        0.0007902   0.4052869E-01   0.9390366E-02   0.1284414E-04
        0.0008224   0.4217010E-01   0.9770671E-02   0.1391164E-04
        0.0008560   0.4387745E-01   0.1016625E-01   0.1506775E-04
        0.0008909   0.4565334E-01   0.1057772E-01   0.1631983E-04
        0.0009273   0.4750049E-01   0.1100569E-01   0.1767583E-04
        0.0009651   0.4942170E-01   0.1145082E-01   0.1914436E-04
        0.0010045   0.5141987E-01   0.1191378E-01   0.2073473E-04
        0.0010454   0.5349804E-01   0.1239528E-01   0.2245703E-04
        0.0010881   0.5565934E-01   0.1289603E-01   0.2432219E-04
        0.0011325   0.5790701E-01   0.1341680E-01   0.2634203E-04
        0.0011787   0.6024445E-01   0.1395836E-01   0.2852935E-04
        0.0012268   0.6267514E-01   0.1452153E-01   0.3089800E-04
        0.0012768   0.6520272E-01   0.1510715E-01   0.3346298E-04
        0.0013289   0.6783096E-01   0.1571608E-01   0.3624052E-04
        0.0013831   0.7056374E-01   0.1634923E-01   0.3924819E-04
        0.0014396   0.7340512E-01   0.1700754E-01   0.4250499E-04
        0.0014983   0.7635929E-01   0.1769198E-01   0.4603151E-04
        0.0015594   0.7943058E-01   0.1840356E-01   0.4985002E-04
        0.0016230   0.8262350E-01   0.1914330E-01   0.5398461E-04
        0.0016892   0.8594270E-01   0.1991231E-01   0.5846136E-04
        0.0017581   0.8939301E-01   0.2071168E-01   0.6330850E-04
        0.0018299   0.9297942E-01   0.2154258E-01   0.6855656E-04
        0.0019045   0.9670710E-01   0.2240621E-01   0.7423857E-04
        0.0019822   0.1005814E+00   0.2330380E-01   0.8039029E-04
        0.0020630   0.1046078E+00   0.2423662E-01   0.8705038E-04
        0.0021472   0.1087921E+00   0.2520602E-01   0.9426068E-04
        0.0022347   0.1131402E+00   0.2621335E-01   0.1020664E-03
        0.0023259   0.1176582E+00   0.2726002E-01   0.1105166E-03
        0.0024207   0.1223524E+00   0.2834751E-01   0.1196642E-03
        0.0025195   0.1272293E+00   0.2947732E-01   0.1295664E-03
        0.0026222   0.1322956E+00   0.3065101E-01   0.1402851E-03
        0.0027292   0.1375584E+00   0.3187018E-01   0.1518875E-03
        0.0028405   0.1430248E+00   0.3313650E-01   0.1644458E-03
        0.0029563   0.1487022E+00   0.3445167E-01   0.1780384E-03
        0.0030768   0.1545981E+00   0.3581746E-01   0.1927499E-03
        0.0032023   0.1607206E+00   0.3723569E-01   0.2086720E-03
        0.0033329   0.1670776E+00   0.3870823E-01   0.2259035E-03
        0.0034688   0.1736775E+00   0.4023699E-01   0.2445515E-03
        0.0036102   0.1805288E+00   0.4182397E-01   0.2647314E-03
        0.0037574   0.1876404E+00   0.4347119E-01   0.2865683E-03
        0.0039105   0.1950214E+00   0.4518075E-01   0.3101972E-03
        0.0040700   0.2026810E+00   0.4695480E-01   0.3357639E-03
        0.0042359   0.2106288E+00   0.4879554E-01   0.3634261E-03
        0.0044085   0.2188746E+00   0.5070522E-01   0.3933539E-03
        0.0045882   0.2274285E+00   0.5268617E-01   0.4257313E-03
        0.0047753   0.2363006E+00   0.5474075E-01   0.4607569E-03
        0.0049699   0.2455015E+00   0.5687138E-01   0.4986451E-03
        0.0051724   0.2550421E+00   0.5908055E-01   0.5396276E-03
        0.0053832   0.2649332E+00   0.6137077E-01   0.5839543E-03
        0.0056026   0.2751861E+00   0.6374462E-01   0.6318950E-03
        0.0058309   0.2858122E+00   0.6620473E-01   0.6837412E-03
        0.0060684   0.2968232E+00   0.6875377E-01   0.7398070E-03
        0.0063157   0.3082309E+00   0.7139444E-01   0.8004316E-03
        0.0065730   0.3200472E+00   0.7412950E-01   0.8659807E-03
        0.0068407   0.3322844E+00   0.7696174E-01   0.9368491E-03
        0.0071194   0.3449549E+00   0.7989396E-01   0.1013462E-02
        0.0074093   0.3580710E+00   0.8292901E-01   0.1096279E-02
        0.0077111   0.3716454E+00   0.8606976E-01   0.1185793E-02
        0.0080251   0.3856908E+00   0.8931907E-01   0.1282538E-02
        0.0083519   0.4002198E+00   0.9267983E-01   0.1387089E-02
        0.0086920   0.4152453E+00   0.9615492E-01   0.1500064E-02
        0.0090458   0.4307800E+00   0.9974722E-01   0.1622129E-02
        0.0094141   0.4468366E+00   0.1034596E+00   0.1754002E-02
        0.0097973   0.4634278E+00   0.1072948E+00   0.1896455E-02
        0.0101960   0.4805661E+00   0.1112557E+00   0.2050320E-02
        0.0106109   0.4982639E+00   0.1153450E+00   0.2216492E-02
        0.0110427   0.5165333E+00   0.1195654E+00   0.2395931E-02
        0.0114920   0.5353861E+00   0.1239193E+00   0.2589673E-02
        0.0119595   0.5548340E+00   0.1284094E+00   0.2798830E-02
        0.0124459   0.5748879E+00   0.1330380E+00   0.3024598E-02
        0.0129521   0.5955585E+00   0.1378073E+00   0.3268259E-02
        0.0134788   0.6168559E+00   0.1427193E+00   0.3531193E-02
        0.0140268   0.6387895E+00   0.1477760E+00   0.3814880E-02
        0.0145970   0.6613680E+00   0.1529791E+00   0.4120909E-02
        0.0151903   0.6845991E+00   0.1583299E+00   0.4450984E-02
        0.0158077   0.7084899E+00   0.1638297E+00   0.4806930E-02
        0.0164500   0.7330462E+00   0.1694793E+00   0.5190708E-02
        0.0171182   0.7582726E+00   0.1752794E+00   0.5604414E-02
        0.0178135   0.7841726E+00   0.1812302E+00   0.6050294E-02
        0.0185369   0.8107481E+00   0.1873314E+00   0.6530754E-02
        0.0192895   0.8379995E+00   0.1935825E+00   0.7048364E-02
        0.0200726   0.8659255E+00   0.1999824E+00   0.7605875E-02
        0.0208872   0.8945230E+00   0.2065294E+00   0.8206224E-02
        0.0217347   0.9237867E+00   0.2132213E+00   0.8852550E-02
        0.0226163   0.9537092E+00   0.2200554E+00   0.9548201E-02
        0.0235336   0.9842806E+00   0.2270282E+00   0.1029675E-01
        0.0244877   0.1015489E+01   0.2341354E+00   0.1110201E-01
        0.0254803   0.1047318E+01   0.2413720E+00   0.1196802E-01
        0.0265129   0.1079751E+01   0.2487323E+00   0.1289912E-01
        0.0275869   0.1112767E+01   0.2562094E+00   0.1389988E-01
        0.0287042   0.1146340E+01   0.2637956E+00   0.1497519E-01
        0.0298664   0.1180442E+01   0.2714822E+00   0.1613024E-01
        0.0310752   0.1215043E+01   0.2792592E+00   0.1737052E-01
        0.0323325   0.1250105E+01   0.2871156E+00   0.1870185E-01
        0.0336402   0.1285588E+01   0.2950391E+00   0.2013041E-01
        0.0350004   0.1321450E+01   0.3030160E+00   0.2166272E-01
        0.0364149   0.1357639E+01   0.3110312E+00   0.2330569E-01
        0.0378861   0.1394103E+01   0.3190682E+00   0.2506660E-01
        0.0394162   0.1430783E+01   0.3271088E+00   0.2695314E-01
