
            r               1s              2s
        0.0000003   0.0000000E+00   0.0000000E+00
        0.0000003   0.3068955E-05   0.4758122E-06
        0.0000003   0.3194202E-05   0.4952304E-06
        0.0000004   0.3324560E-05   0.5154412E-06
        0.0000004   0.3460238E-05   0.5364767E-06
        0.0000004   0.3601452E-05   0.5583707E-06
        0.0000004   0.3748430E-05   0.5811583E-06
        0.0000004   0.3901406E-05   0.6048757E-06
        0.0000004   0.4060626E-05   0.6295612E-06
        0.0000005   0.4226343E-05   0.6552540E-06
        0.0000005   0.4398822E-05   0.6819953E-06
        0.0000005   0.4578341E-05   0.7098280E-06
        0.0000005   0.4765186E-05   0.7387965E-06
        0.0000005   0.4959657E-05   0.7689473E-06
        0.0000006   0.5162063E-05   0.8003285E-06
        0.0000006   0.5372730E-05   0.8329904E-06
        0.0000006   0.5591994E-05   0.8669852E-06
        0.0000006   0.5820206E-05   0.9023673E-06
        0.0000007   0.6057732E-05   0.9391934E-06
        0.0000007   0.6304951E-05   0.9775224E-06
        0.0000007   0.6562260E-05   0.1017416E-05
        0.0000007   0.6830069E-05   0.1058937E-05
        0.0000008   0.7108807E-05   0.1102152E-05
        0.0000008   0.7398920E-05   0.1147132E-05
        0.0000008   0.7700873E-05   0.1193947E-05
        0.0000009   0.8015149E-05   0.1242672E-05
        0.0000009   0.8342250E-05   0.1293386E-05
        0.0000009   0.8682700E-05   0.1346170E-05
        0.0000010   0.9037044E-05   0.1401107E-05
        0.0000010   0.9405849E-05   0.1458287E-05
        0.0000011   0.9789704E-05   0.1517800E-05
        0.0000011   0.1018922E-04   0.1579742E-05
        0.0000011   0.1060505E-04   0.1644211E-05
        0.0000012   0.1103784E-04   0.1711312E-05
        0.0000012   0.1148830E-04   0.1781151E-05
        0.0000013   0.1195714E-04   0.1853840E-05
        0.0000013   0.1244511E-04   0.1929495E-05
        0.0000014   0.1295300E-04   0.2008238E-05
        0.0000015   0.1348161E-04   0.2090194E-05
        0.0000015   0.1403179E-04   0.2175495E-05
        0.0000016   0.1460443E-04   0.2264277E-05
        0.0000016   0.1520044E-04   0.2356682E-05
        0.0000017   0.1582076E-04   0.2452858E-05
        0.0000018   0.1646641E-04   0.2552959E-05
        0.0000019   0.1713840E-04   0.2657145E-05
        0.0000019   0.1783781E-04   0.2765582E-05
        0.0000020   0.1856577E-04   0.2878445E-05
        0.0000021   0.1932343E-04   0.2995913E-05
        0.0000022   0.2011202E-04   0.3118176E-05
        0.0000023   0.2093278E-04   0.3245427E-05
        0.0000024   0.2178704E-04   0.3377871E-05
        0.0000024   0.2267615E-04   0.3515721E-05
        0.0000025   0.2360155E-04   0.3659195E-05
        0.0000027   0.2456472E-04   0.3808525E-05
        0.0000028   0.2556719E-04   0.3963948E-05
        0.0000029   0.2661057E-04   0.4125714E-05
        0.0000030   0.2769652E-04   0.4294081E-05
        0.0000031   0.2882679E-04   0.4469319E-05
        0.0000032   0.3000319E-04   0.4651707E-05
        0.0000034   0.3122759E-04   0.4841539E-05
        0.0000035   0.3250195E-04   0.5039117E-05
        0.0000037   0.3382832E-04   0.5244757E-05
        0.0000038   0.3520881E-04   0.5458789E-05
        0.0000040   0.3664563E-04   0.5681555E-05
        0.0000041   0.3814109E-04   0.5913411E-05
        0.0000043   0.3969757E-04   0.6154729E-05
        0.0000045   0.4131757E-04   0.6405893E-05
        0.0000046   0.4300367E-04   0.6667307E-05
        0.0000048   0.4475857E-04   0.6939388E-05
        0.0000050   0.4658508E-04   0.7222571E-05
        0.0000052   0.4848612E-04   0.7517309E-05
        0.0000054   0.5046474E-04   0.7824075E-05
        0.0000057   0.5252409E-04   0.8143358E-05
        0.0000059   0.5466747E-04   0.8475669E-05
        0.0000061   0.5689832E-04   0.8821539E-05
        0.0000064   0.5922019E-04   0.9181523E-05
        0.0000067   0.6163680E-04   0.9556196E-05
        0.0000069   0.6415201E-04   0.9946156E-05
        0.0000072   0.6676986E-04   0.1035203E-04
        0.0000075   0.6949452E-04   0.1077446E-04
        0.0000078   0.7233036E-04   0.1121413E-04
        0.0000081   0.7528190E-04   0.1167174E-04
        0.0000085   0.7835387E-04   0.1214802E-04
        0.0000088   0.8155119E-04   0.1264373E-04
        0.0000092   0.8487895E-04   0.1315967E-04
        0.0000095   0.8834250E-04   0.1369666E-04
        0.0000099   0.9194735E-04   0.1425556E-04
        0.0000103   0.9569929E-04   0.1483726E-04
        0.0000108   0.9960430E-04   0.1544269E-04
        0.0000112   0.1036686E-03   0.1607283E-04
        0.0000117   0.1078988E-03   0.1672867E-04
        0.0000121   0.1123015E-03   0.1741127E-04
        0.0000126   0.1168839E-03   0.1812172E-04
