
            r               1s              2p
        0.0000003   0.0000000E+00   0.0000000E+00
        0.0000003   0.3069157E-05   0.4679491E-13
        0.0000003   0.3194412E-05   0.5069231E-13
        0.0000004   0.3324779E-05   0.5491431E-13
        0.0000004   0.3460465E-05   0.5948795E-13
        0.0000004   0.3601690E-05   0.6444250E-13
        0.0000004   0.3748677E-05   0.6980971E-13
        0.0000004   0.3901664E-05   0.7562393E-13
        0.0000004   0.4060893E-05   0.8192239E-13
        0.0000005   0.4226621E-05   0.8874544E-13
        0.0000005   0.4399112E-05   0.9613674E-13
        0.0000005   0.4578643E-05   0.1041436E-12
        0.0000005   0.4765500E-05   0.1128174E-12
        0.0000005   0.4959983E-05   0.1222136E-12
        0.0000006   0.5162403E-05   0.1323923E-12
        0.0000006   0.5373084E-05   0.1434188E-12
        0.0000006   0.5592363E-05   0.1553637E-12
        0.0000006   0.5820590E-05   0.1683034E-12
        0.0000007   0.6058131E-05   0.1823208E-12
        0.0000007   0.6305367E-05   0.1975057E-12
        0.0000007   0.6562692E-05   0.2139552E-12
        0.0000007   0.6830519E-05   0.2317747E-12
        0.0000008   0.7109275E-05   0.2510784E-12
        0.0000008   0.7399408E-05   0.2719898E-12
        0.0000008   0.7701381E-05   0.2946428E-12
        0.0000009   0.8015677E-05   0.3191826E-12
        0.0000009   0.8342800E-05   0.3457661E-12
        0.0000009   0.8683272E-05   0.3745636E-12
        0.0000010   0.9037640E-05   0.4057596E-12
        0.0000010   0.9406468E-05   0.4395537E-12
        0.0000011   0.9790349E-05   0.4761624E-12
        0.0000011   0.1018990E-04   0.5158201E-12
        0.0000011   0.1060575E-04   0.5587807E-12
        0.0000012   0.1103857E-04   0.6053193E-12
        0.0000012   0.1148906E-04   0.6557339E-12
        0.0000013   0.1195793E-04   0.7103473E-12
        0.0000013   0.1244593E-04   0.7695091E-12
        0.0000014   0.1295385E-04   0.8335983E-12
        0.0000015   0.1348250E-04   0.9030251E-12
        0.0000015   0.1403272E-04   0.9782342E-12
        0.0000016   0.1460539E-04   0.1059707E-11
        0.0000016   0.1520144E-04   0.1147965E-11
        0.0000017   0.1582181E-04   0.1243574E-11
        0.0000018   0.1646749E-04   0.1347146E-11
        0.0000019   0.1713953E-04   0.1459343E-11
        0.0000019   0.1783899E-04   0.1580885E-11
        0.0000020   0.1856699E-04   0.1712549E-11
        0.0000021   0.1932471E-04   0.1855179E-11
        0.0000022   0.2011334E-04   0.2009688E-11
        0.0000023   0.2093416E-04   0.2177065E-11
        0.0000024   0.2178847E-04   0.2358382E-11
        0.0000024   0.2267765E-04   0.2554799E-11
        0.0000025   0.2360311E-04   0.2767575E-11
        0.0000027   0.2456634E-04   0.2998071E-11
        0.0000028   0.2556887E-04   0.3247764E-11
        0.0000029   0.2661232E-04   0.3518252E-11
        0.0000030   0.2769835E-04   0.3811267E-11
        0.0000031   0.2882869E-04   0.4128686E-11
        0.0000032   0.3000516E-04   0.4472539E-11
        0.0000034   0.3122964E-04   0.4845030E-11
        0.0000035   0.3250409E-04   0.5248543E-11
        0.0000037   0.3383055E-04   0.5685661E-11
        0.0000038   0.3521113E-04   0.6159183E-11
        0.0000040   0.3664805E-04   0.6672140E-11
